grid_id,total_score_0_100_old,priority_rank_old,total_score_0_100_new,priority_rank_new,abs_score_diff
47259,72.802,6156,51.062,18307,21.74000000000001
22932,93.016,4,71.276,3346,21.74000000000001
58269,44.158,25600,22.418,34714,21.740000000000002
53613,64.768,11439,43.028,23720,21.740000000000002
26181,82.98,235,61.24,10703,21.740000000000002
29633,80.387,828,58.647,12494,21.740000000000002
38734,61.29,14123,83.03,670,21.740000000000002
54690,58.77,16000,37.03,26969,21.740000000000002
58838,43.642,25861,21.902,35010,21.740000000000002
57268,44.0,25673,22.26,34797,21.74
32658,83.82,192,62.08,10083,21.739999999999995
27907,83.815,194,62.075,10088,21.739999999999995
28773,81.314,428,59.574,11883,21.739999999999995
17313,91.199,20,69.459,4317,21.739999999999995
36470,57.592,16916,79.332,1192,21.739999999999995
23455,91.829,12,70.089,3902,21.739999999999995
22163,93.224,2,71.485,3280,21.739000000000004
22674,93.305,1,71.566,3258,21.739000000000004
23991,90.037,38,68.298,5256,21.739000000000004
38733,60.586,14645,82.325,720,21.739000000000004
28484,81.885,346,60.146,11487,21.739000000000004
29635,81.858,349,60.119,11506,21.739000000000004
39748,60.669,14590,82.408,713,21.739000000000004
38987,61.717,13798,83.456,642,21.739000000000004
28195,82.424,285,60.685,11119,21.739000000000004
13092,58.753,16015,80.492,911,21.739000000000004
45478,75.566,4242,53.827,16110,21.739000000000004
29911,79.418,1561,57.679,13154,21.739000000000004
37228,58.163,16456,79.902,1050,21.739000000000004
40802,46.58,24293,68.319,5237,21.739000000000004
57143,22.278,35783,44.017,23096,21.739000000000004
38484,61.185,14193,82.924,678,21.739000000000004
38231,58.565,16161,80.304,955,21.739000000000004
39749,61.182,14196,82.921,679,21.739000000000004
33959,80.421,799,58.682,12469,21.739000000000004
28193,80.066,1071,58.327,12722,21.739000000000004
46249,74.373,5126,52.634,17092,21.739000000000004
46250,74.665,4907,52.926,16857,21.739000000000004
27618,83.168,223,61.429,10568,21.739000000000004
25900,83.561,206,61.822,10276,21.739000000000004
29353,83.105,226,61.366,10616,21.739000000000004
27331,83.489,209,61.75,10332,21.739000000000004
39752,62.336,13334,84.075,592,21.739000000000004
12633,59.893,15166,81.632,767,21.739000000000004
29350,80.545,737,58.806,12388,21.739000000000004
54515,59.917,15145,38.178,26405,21.739000000000004
39994,81.302,432,59.563,11892,21.739000000000004
37972,58.914,15900,80.653,884,21.739000000000004
47008,73.165,5939,51.426,18033,21.739000000000004
27904,80.521,748,58.782,12407,21.739000000000004
28196,83.412,213,61.673,10389,21.739000000000004
37223,56.708,17620,78.447,1402,21.739000000000004
33451,84.215,174,62.476,9782,21.739000000000004
22409,84.156,176,62.417,9827,21.739000000000004
33967,84.102,178,62.363,9866,21.739000000000004
16717,90.555,30,68.816,4835,21.739000000000004
38232,59.179,15699,80.918,842,21.739000000000004
37473,57.532,16967,79.271,1212,21.739000000000004
38724,57.563,16941,79.302,1203,21.739000000000004
17735,91.144,22,69.405,4363,21.739000000000004
23723,90.991,27,69.252,4486,21.739000000000004
24260,89.03,53,67.291,6071,21.739000000000004
18841,91.304,18,69.565,4231,21.739000000000004
